logA,n_s,theta_s_1e2,omega_b,omega_cdm,tau_reio,w_0,w_1,w_2,w_3,w_4,A_planck,gdm_alpha
3.048673852428855,0.9556767901860106,1.041856423443564,0.022294962434883096,0.12122853820245487,0.059471628716964424,-0.930429342859513,-0.8014537387740601,-0.7607348949060271,-0.7880317715231642,-0.5371198717861574,0.9982161363753548,0.0
3.049966034800438,0.9679949193857943,1.0409332706299153,0.022522108695015856,0.12090525163155211,0.058484448542533596,0.3426628569806982,-0.20982974530994314,-0.8953508186678898,0.4665475951811262,0.5625574256871826,1.0024496831478005,0.01
3.050023385851729,0.9717339161377013,1.0414467054790078,0.02230374545013278,0.12061616438048726,0.05316678224088853,-0.8039385929497131,0.2024916777806438,0.0524443566031314,0.4744878627640552,0.8179786869431331,0.9984220003844094,0.02
3.0505549223610715,0.9664037678209767,1.0415428515701697,0.022526088960700543,0.12050519816749136,0.045724339891640944,-0.7598877831443551,-0.9948459376458916,0.940380601663334,-0.5990396293461793,0.7035712717208189,1.001730648897418,0.03
3.049768231804675,0.9654541453868576,1.0418389935173562,0.0225682274910449,0.12121217540528463,0.04876359134848346,0.021871287783412185,0.7900301061352228,0.5500162227201066,-0.4985894048340398,0.7128690760706216,1.0010397599551748,0.04
3.0505593809782043,0.9670522523135561,1.0421492854439829,0.022445092026694625,0.11846048688353425,0.05785402770553685,-0.5463351657212052,-0.24090334483171438,-0.1589685043453175,-0.9376988140689722,0.6809761978231978,0.9972323023924777,0.05
3.0493501400577334,0.9622138982931879,1.041934994706534,0.022585449937284573,0.11909527437191762,0.054560527494817365,0.3803672712193895,-0.33961093975847456,0.38199418188775125,0.47338103231409456,-0.618481604021013,1.0025308492191984,0.01
3.05102598617628,0.9642505070488084,1.0413132546215609,0.022486746251878183,0.11858839322757235,0.06418381335475175,-0.5059949316930898,0.8500487278266222,0.7152723992678529,-0.955361044267987,0.864518041052815,1.0026759387753457,0.02
3.0509448893466327,0.9618058590656207,1.0414658523362066,0.022299005781728966,0.118679400701481,0.056587306200337854,-0.23414136962576326,0.9295422677058951,-0.6668060629533703,-0.4051706559963635,0.3512433350933093,1.0024740082088819,0.03
3.0499738260817617,0.9643972373563581,1.0414309486702482,0.02237301916651489,0.11953128640625786,0.05554213266476438,-0.4547606435091376,-0.07033181022241308,0.8279685498446789,-0.7161201594981952,-0.22556085177836027,0.9996617584094115,0.04
3.0501204368414183,0.9638611381439012,1.0416778153791681,0.022439641489680525,0.11996756025816302,0.05591590778666945,-0.4987052636839888,0.6847184200138499,0.08015075900579705,0.5994220973524302,-0.4081330397100642,0.998717086021443,0.05
